16.5.18 11:56:0 ;AngleDec;68,66
16.5.18 11:57:0 ;AngleDec;68,92
16.5.18 11:58:0 ;AngleDec;69,19
16.5.18 11:59:0 ;AngleDec;69,46
16.5.18 12:0:0 ;AngleDec;69,72
16.5.18 12:1:0 ;AngleDec;69,99
16.5.18 12:2:0 ;AngleDec;70,26
16.5.18 12:3:0 ;AngleDec;70,52
16.5.18 12:4:0 ;AngleDec;70,79
16.5.18 12:5:0 ;AngleDec;71,06
16.5.18 12:6:0 ;AngleDec;71,33
16.5.18 12:7:0 ;AngleDec;71,60
16.5.18 12:8:0 ;AngleDec;71,87
16.5.18 12:9:0 ;AngleDec;72,14
16.5.18 12:10:0 ;AngleDec;72,41
16.5.18 12:11:0 ;AngleDec;72,69
16.5.18 12:12:0 ;AngleDec;72,96
16.5.18 12:13:0 ;AngleDec;73,23
16.5.18 12:14:0 ;AngleDec;73,50
16.5.18 12:15:0 ;AngleDec;73,78
16.5.18 12:16:0 ;AngleDec;74,05
16.5.18 12:17:0 ;AngleDec;74,33
16.5.18 12:18:0 ;AngleDec;74,60
16.5.18 12:19:0 ;AngleDec;74,88
16.5.18 12:20:0 ;AngleDec;75,15
16.5.18 12:21:0 ;AngleDec;75,43
16.5.18 12:22:0 ;AngleDec;75,71
16.5.18 12:23:0 ;AngleDec;75,98
16.5.18 12:24:0 ;AngleDec;76,26
16.5.18 12:25:0 ;AngleDec;76,54
16.5.18 12:26:0 ;AngleDec;76,82
16.5.18 12:27:0 ;AngleDec;77,09
16.5.18 12:28:0 ;AngleDec;77,37
16.5.18 12:29:0 ;AngleDec;77,65
16.5.18 12:30:0 ;AngleDec;77,93
16.5.18 12:31:0 ;AngleDec;78,21
16.5.18 12:32:0 ;AngleDec;78,49
16.5.18 12:33:0 ;AngleDec;78,77
16.5.18 12:34:0 ;AngleDec;79,05
16.5.18 12:35:0 ;AngleDec;79,34
16.5.18 12:36:0 ;AngleDec;79,62
16.5.18 12:37:0 ;AngleDec;79,90
16.5.18 12:38:0 ;AngleDec;80,18
16.5.18 12:39:0 ;AngleDec;80,46
16.5.18 12:40:0 ;AngleDec;80,75
16.5.18 12:41:0 ;AngleDec;81,03
16.5.18 12:42:0 ;AngleDec;81,31
16.5.18 12:43:0 ;AngleDec;81,60
16.5.18 12:44:0 ;AngleDec;81,88
16.5.18 12:45:0 ;AngleDec;82,17
16.5.18 12:46:0 ;AngleDec;82,45
16.5.18 12:47:0 ;AngleDec;82,73
16.5.18 12:48:0 ;AngleDec;83,02
16.5.18 12:49:0 ;AngleDec;83,30
16.5.18 12:50:0 ;AngleDec;83,59
16.5.18 12:51:0 ;AngleDec;83,88
16.5.18 12:52:0 ;AngleDec;84,16
16.5.18 12:53:0 ;AngleDec;84,45
16.5.18 12:54:0 ;AngleDec;84,73
16.5.18 12:55:0 ;AngleDec;85,02
16.5.18 12:56:0 ;AngleDec;85,31
16.5.18 12:57:0 ;AngleDec;85,59
16.5.18 12:58:0 ;AngleDec;85,88
16.5.18 12:59:0 ;AngleDec;86,16
16.5.18 13:0:0 ;AngleDec;86,45
16.5.18 13:1:0 ;AngleDec;86,74
16.5.18 13:2:0 ;AngleDec;87,03
16.5.18 13:3:0 ;AngleDec;87,31
16.5.18 13:4:0 ;AngleDec;87,60
16.5.18 13:5:0 ;AngleDec;87,89
16.5.18 13:6:0 ;AngleDec;88,17
16.5.18 13:7:0 ;AngleDec;88,46
16.5.18 13:8:0 ;AngleDec;88,75
16.5.18 13:9:0 ;AngleDec;89,04
16.5.18 13:10:0 ;AngleDec;89,32
16.5.18 13:11:0 ;AngleDec;89,61
16.5.18 13:12:0 ;AngleDec;89,90
16.5.18 13:13:0 ;AngleDec;-89,81
16.5.18 13:14:0 ;AngleDec;-89,53
16.5.18 13:15:0 ;AngleDec;-89,24
16.5.18 13:16:0 ;AngleDec;-88,95
16.5.18 13:17:0 ;AngleDec;-88,66
16.5.18 13:18:0 ;AngleDec;-88,38
16.5.18 13:19:0 ;AngleDec;-88,09
16.5.18 13:20:0 ;AngleDec;-87,80
16.5.18 13:21:0 ;AngleDec;-87,52
16.5.18 13:22:0 ;AngleDec;-87,23
16.5.18 13:23:0 ;AngleDec;-86,94
16.5.18 13:24:0 ;AngleDec;-86,65
16.5.18 13:25:0 ;AngleDec;-86,37
16.5.18 13:26:0 ;AngleDec;-86,08
16.5.18 13:27:0 ;AngleDec;-85,79
16.5.18 13:28:0 ;AngleDec;-85,51
16.5.18 13:29:0 ;AngleDec;-85,22
16.5.18 13:30:0 ;AngleDec;-84,94
16.5.18 13:31:0 ;AngleDec;-84,65
16.5.18 13:32:0 ;AngleDec;-84,36
16.5.18 13:33:0 ;AngleDec;-84,08
16.5.18 13:34:0 ;AngleDec;-83,79
16.5.18 13:35:0 ;AngleDec;-83,51
16.5.18 13:36:0 ;AngleDec;-83,22
16.5.18 13:37:0 ;AngleDec;-82,94
16.5.18 13:38:0 ;AngleDec;-82,65
16.5.18 13:39:0 ;AngleDec;-82,37
16.5.18 13:40:0 ;AngleDec;-82,08
16.5.18 13:41:0 ;AngleDec;-81,80
16.5.18 13:42:0 ;AngleDec;-81,52
16.5.18 13:43:0 ;AngleDec;-81,23
16.5.18 13:44:0 ;AngleDec;-80,95
16.5.18 13:45:0 ;AngleDec;-80,67
16.5.18 13:46:0 ;AngleDec;-80,38
16.5.18 13:47:0 ;AngleDec;-80,10
16.5.18 13:48:0 ;AngleDec;-79,82
16.5.18 13:49:0 ;AngleDec;-79,54
16.5.18 13:50:0 ;AngleDec;-79,26
16.5.18 13:51:0 ;AngleDec;-78,97
16.5.18 13:52:0 ;AngleDec;-78,69
16.5.18 13:53:0 ;AngleDec;-78,41
16.5.18 13:54:0 ;AngleDec;-78,13
16.5.18 13:55:0 ;AngleDec;-77,85
16.5.18 13:56:0 ;AngleDec;-77,57
16.5.18 13:57:0 ;AngleDec;-77,29
16.5.18 13:58:0 ;AngleDec;-77,02
16.5.18 13:59:0 ;AngleDec;-76,74
16.5.18 14:0:0 ;AngleDec;-76,46
16.5.18 14:1:0 ;AngleDec;-76,18
16.5.18 14:2:0 ;AngleDec;-75,90
16.5.18 14:3:0 ;AngleDec;-75,63
16.5.18 14:4:0 ;AngleDec;-75,35
16.5.18 14:5:0 ;AngleDec;-75,08
16.5.18 14:6:0 ;AngleDec;-74,80
16.5.18 14:7:0 ;AngleDec;-74,52
16.5.18 14:8:0 ;AngleDec;-74,25
16.5.18 14:9:0 ;AngleDec;-73,98
16.5.18 14:10:0 ;AngleDec;-73,70
16.5.18 14:11:0 ;AngleDec;-73,43
16.5.18 14:12:0 ;AngleDec;-73,16
16.5.18 14:13:0 ;AngleDec;-72,88
16.5.18 14:14:0 ;AngleDec;-72,61
16.5.18 14:15:0 ;AngleDec;-72,34
16.5.18 14:16:0 ;AngleDec;-72,07
16.5.18 14:17:0 ;AngleDec;-71,80
16.5.18 14:18:0 ;AngleDec;-71,53
16.5.18 14:19:0 ;AngleDec;-71,26
16.5.18 14:20:0 ;AngleDec;-70,99
16.5.18 14:21:0 ;AngleDec;-70,72
16.5.18 14:22:0 ;AngleDec;-70,45
16.5.18 14:23:0 ;AngleDec;-70,19
16.5.18 14:24:0 ;AngleDec;-69,92
16.5.18 14:25:0 ;AngleDec;-69,65
16.5.18 14:26:0 ;AngleDec;-69,39
16.5.18 14:27:0 ;AngleDec;-69,12
16.5.18 14:28:0 ;AngleDec;-68,86
16.5.18 14:29:0 ;AngleDec;-68,59
16.5.18 14:30:0 ;AngleDec;-68,33
16.5.18 14:31:0 ;AngleDec;-68,06
16.5.18 14:32:0 ;AngleDec;-67,80
16.5.18 14:33:0 ;AngleDec;-67,54
16.5.18 14:34:0 ;AngleDec;-67,28
16.5.18 14:35:0 ;AngleDec;-67,02
16.5.18 14:36:0 ;AngleDec;-66,76
16.5.18 14:37:0 ;AngleDec;-66,50
16.5.18 14:38:0 ;AngleDec;-66,24
16.5.18 14:39:0 ;AngleDec;-65,98
16.5.18 14:40:0 ;AngleDec;-65,72
16.5.18 14:41:0 ;AngleDec;-65,46
16.5.18 14:42:0 ;AngleDec;-65,21
16.5.18 14:43:0 ;AngleDec;-64,95
16.5.18 14:44:0 ;AngleDec;-64,69
16.5.18 14:45:0 ;AngleDec;-64,44
16.5.18 14:46:0 ;AngleDec;-64,18
16.5.18 14:47:0 ;AngleDec;-63,93
16.5.18 14:48:0 ;AngleDec;-63,68
16.5.18 14:49:0 ;AngleDec;-63,42
16.5.18 14:50:0 ;AngleDec;-63,17
16.5.18 14:51:0 ;AngleDec;-62,92
16.5.18 14:52:0 ;AngleDec;-62,67
16.5.18 14:53:0 ;AngleDec;-62,42
16.5.18 14:54:0 ;AngleDec;-62,17
16.5.18 14:55:0 ;AngleDec;-61,92
16.5.18 14:56:0 ;AngleDec;-61,67
16.5.18 14:57:0 ;AngleDec;-61,43
16.5.18 14:58:0 ;AngleDec;-61,18
16.5.18 14:59:0 ;AngleDec;-60,93
16.5.18 15:0:0 ;AngleDec;-60,69
16.5.18 15:1:0 ;AngleDec;-60,44
16.5.18 15:2:0 ;AngleDec;-60,20
16.5.18 15:3:0 ;AngleDec;-59,95
16.5.18 15:4:0 ;AngleDec;-59,71
